Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/aircraft,3833,0,6000.0,5644.830912389249,2.6951149993692525,10513.590341000054,257.0,12.791627536810926,0.0,6000,6100,6200,6300,6500,6700,6800,7000,9700,11000,11000
GET,/flights,26220,0,6000.0,5649.999556996097,5.753571999775886,11009.794782000426,71208.0,87.50234125102595,0.0,6000,6100,6200,6300,6500,6700,6900,7000,10000,11000,11000
GET,/routes,7625,0,6000.0,5654.262966418237,2.628406999974686,10444.026934000249,791.0,25.446428376776236,0.0,6000,6100,6200,6300,6500,6700,6900,7000,9700,10000,10000
,Aggregated,37678,0,6000.0,5650.33654627542,2.628406999974686,11009.794782000426,49739.64159456447,125.74039716461311,0.0,6000,6100,6200,6300,6500,6700,6900,7000,9800,11000,11000
