Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/aircraft,2868,0,8800.0,8279.303528612982,2.660714000739972,15010.624771999574,257.0,9.56848296851131,0.0,8800,9200,9500,9700,10000,11000,11000,11000,15000,15000,15000
GET,/flights,19476,0,8700.0,8218.195801215126,6.077089000427804,15395.01631100029,71208.0,64.9776060999743,0.0,8700,9200,9500,9700,10000,11000,11000,11000,14000,15000,15000
GET,/routes,5613,0,8700.0,8186.076395371647,2.667615000063961,15417.043704000207,791.0,18.72660212770362,0.0,8700,9200,9500,9700,10000,11000,11000,11000,14000,15000,15000
,Aggregated,27957,0,8700.0,8218.01590842182,2.660714000739972,15417.043704000207,49791.60736130486,93.27269119618923,0.0,8700,9200,9500,9700,10000,11000,11000,11000,14000,15000,15000
