Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/aircraft,39,24,121000.0,120773.04858576912,291.27389499990386,268261.2575929997,111.76923076923077,0.1416064096717708,0.08714240595185895,121000,150000,209000,239000,268000,268000,268000,268000,268000,268000,268000
GET,/flights,401,255,90000.0,97902.60950091017,31.036134999339993,268337.565756,25939.45885286783,1.4560043661123099,0.9258880632385014,90000,150000,180000,209000,239000,268000,268000,268000,268000,268000,268000
GET,/routes,118,66,60000.0,91263.68893217795,17.808953999519872,268250.0013229992,360.3220338983051,0.4284501625966398,0.2396416163676121,60000,121000,180000,209000,238000,268000,268000,268000,268000,268000,268000
,Aggregated,558,345,90000.0,98097.15161058592,17.808953999519872,268337.565756,18725.089605734767,2.0260609383807204,1.2526720855579723,90000,150000,180000,209000,239000,268000,268000,268000,268000,268000,268000
